prot_i,AUROC-nearood,FPR95-nearood,AUROC-farood,FPR95-farood
5,-1.0996315014301814,0.8833333333333258,-0.0015064175005221614,-0.8555555555555543
16,-0.9258948423400426,0.9333333333333229,-2.4459196868075566,4.794444444444451
0,-0.8968260624170057,0.038888888888877204,-0.26205821182597333,-1.74166666666666
7,-0.8272066819048547,0.7777777777777573,0.9901273170615212,-3.2833333333333314
10,-0.6876878324309672,0.7333333333333343,0.38734772640869153,-1.7972222222222172
6,-0.6811495706064647,-0.022222222222225696,-0.6624987076916256,0.17499999999999716
8,-0.6206806543058576,0.6222222222222058,0.2032238773466446,-1.7333333333333343
3,-0.590190242023354,0.3111111111111029,-0.12499542260725605,0.1666666666666572
13,-0.46104857671876687,0.40555555555555145,0.2933783654662392,-1.8777777777777658
14,-0.4586926326318661,0.027777777777785673,-0.5715649942305561,0.38611111111110574
18,-0.44463521410087026,0.1888888888888829,0.12911916295777814,-1.1777777777777771
19,-0.3561475298804879,0.10555555555554008,0.24600563385340024,-1.5888888888888744
11,-0.3119571854462606,-0.4166666666666714,0.16957489703155204,-1.2138888888888744
1,-0.28191830490006,0.2055555555555486,0.12700104091425146,-1.4055555555555515
4,-0.1701860121905554,-0.26666666666667993,-0.24100981467029214,1.0472222222222314
12,-0.13511361136649214,-0.06111111111111711,0.07186163606735363,-0.5749999999999886
15,-0.031016996628878246,-0.36111111111111427,0.5106396165906801,-2.305555555555543
9,0.07285204694045433,-0.20555555555556282,-0.36177321670280094,0.3500000000000085
2,0.08691463445363468,-0.12777777777778,0.5670166035581019,-2.5111111111111057
17,0.11404174779514165,-0.2888888888888914,-0.31818811823887927,-0.04999999999999716
